# ----------------------------------------,
# www.fahr.gov.ae,
# Overview,
# 20170101-20171231,
# ----------------------------------------,
,
Day Index,Pageviews
1/1/2017,475
1/2/2017,"1,588"
1/3/2017,"1,629"
1/4/2017,"1,453"
1/5/2017,"1,440"
1/6/2017,364
1/7/2017,584
1/8/2017,"2,819"
1/9/2017,"3,041"
1/10/2017,"2,186"
1/11/2017,"1,959"
1/12/2017,"1,555"
1/13/2017,423
1/14/2017,615
1/15/2017,"2,053"
1/16/2017,"2,477"
1/17/2017,"1,943"
1/18/2017,"1,937"
1/19/2017,"1,883"
1/20/2017,403
1/21/2017,740
1/22/2017,"2,347"
1/23/2017,"2,584"
1/24/2017,"1,910"
1/25/2017,"1,925"
1/26/2017,"1,471"
1/27/2017,368
1/28/2017,574
1/29/2017,"1,860"
1/30/2017,"1,780"
1/31/2017,"1,721"
2/1/2017,"2,276"
2/2/2017,"1,656"
2/3/2017,385
2/4/2017,543
2/5/2017,"1,910"
2/6/2017,"1,823"
2/7/2017,"2,950"
2/8/2017,"3,104"
2/9/2017,"2,196"
2/10/2017,442
2/11/2017,746
2/12/2017,"2,193"
2/13/2017,"2,685"
2/14/2017,"2,106"
2/15/2017,"1,844"
2/16/2017,"1,539"
2/17/2017,605
2/18/2017,703
2/19/2017,"1,760"
2/20/2017,"2,786"
2/21/2017,"2,480"
2/22/2017,"2,177"
2/23/2017,"1,719"
2/24/2017,494
2/25/2017,748
2/26/2017,"2,116"
2/27/2017,"2,720"
2/28/2017,"2,286"
3/1/2017,"2,114"
3/2/2017,"1,927"
3/3/2017,529
3/4/2017,845
3/5/2017,"1,943"
3/6/2017,"2,184"
3/7/2017,"2,087"
3/8/2017,"1,772"
3/9/2017,"1,522"
3/10/2017,467
3/11/2017,775
3/12/2017,"1,864"
3/13/2017,"1,899"
3/14/2017,"1,984"
3/15/2017,"1,910"
3/16/2017,"1,386"
3/17/2017,509
3/18/2017,647
3/19/2017,"2,274"
3/20/2017,"1,955"
3/21/2017,"1,745"
3/22/2017,"1,872"
3/23/2017,"1,552"
3/24/2017,440
3/25/2017,604
3/26/2017,"1,735"
3/27/2017,"1,801"
3/28/2017,"1,574"
3/29/2017,"1,802"
3/30/2017,"1,321"
3/31/2017,384
4/1/2017,492
4/2/2017,"1,640"
4/3/2017,"1,865"
4/4/2017,"1,599"
4/5/2017,"1,499"
4/6/2017,"1,364"
4/7/2017,392
4/8/2017,586
4/9/2017,"1,990"
4/10/2017,"1,698"
4/11/2017,"1,712"
4/12/2017,"1,725"
4/13/2017,"1,695"
4/14/2017,447
4/15/2017,725
4/16/2017,"1,729"
4/17/2017,"2,067"
4/18/2017,"1,951"
4/19/2017,"1,717"
4/20/2017,"1,322"
4/21/2017,441
4/22/2017,607
4/23/2017,845
4/24/2017,"1,920"
4/25/2017,"1,855"
4/26/2017,"1,718"
4/27/2017,"1,448"
4/28/2017,513
4/29/2017,676
4/30/2017,"1,727"
5/1/2017,"1,584"
5/2/2017,"1,592"
5/3/2017,"1,720"
5/4/2017,"1,572"
5/5/2017,450
5/6/2017,539
5/7/2017,"1,930"
5/8/2017,"1,956"
5/9/2017,"1,801"
5/10/2017,"1,657"
5/11/2017,"1,460"
5/12/2017,471
5/13/2017,616
5/14/2017,"1,903"
5/15/2017,"1,791"
5/16/2017,"1,746"
5/17/2017,"1,651"
5/18/2017,"1,569"
5/19/2017,601
5/20/2017,808
5/21/2017,"2,404"
5/22/2017,"2,906"
5/23/2017,"2,391"
5/24/2017,"2,590"
5/25/2017,"1,594"
5/26/2017,437
5/27/2017,417
5/28/2017,"1,475"
5/29/2017,"1,654"
5/30/2017,"1,488"
5/31/2017,"1,484"
6/1/2017,"1,306"
6/2/2017,443
6/3/2017,670
6/4/2017,"1,532"
6/5/2017,"1,687"
6/6/2017,"1,521"
6/7/2017,"1,727"
6/8/2017,"1,555"
6/9/2017,373
6/10/2017,412
6/11/2017,"1,551"
6/12/2017,"1,490"
6/13/2017,"1,403"
6/14/2017,"2,043"
6/15/2017,"1,558"
6/16/2017,385
6/17/2017,418
6/18/2017,"1,337"
6/19/2017,"1,547"
6/20/2017,"1,327"
6/21/2017,"1,300"
6/22/2017,"1,296"
6/23/2017,371
6/24/2017,241
6/25/2017,152
6/26/2017,189
6/27/2017,457
6/28/2017,"1,203"
6/29/2017,"1,168"
6/30/2017,286
7/1/2017,477
7/2/2017,"1,533"
7/3/2017,"1,622"
7/4/2017,"1,470"
7/5/2017,"1,401"
7/6/2017,"1,554"
7/7/2017,446
7/8/2017,455
7/9/2017,"1,532"
7/10/2017,"1,467"
7/11/2017,"1,941"
7/12/2017,"1,603"
7/13/2017,"1,474"
7/14/2017,343
7/15/2017,491
7/16/2017,"1,511"
7/17/2017,"1,433"
7/18/2017,"1,571"
7/19/2017,"1,451"
7/20/2017,"1,156"
7/21/2017,306
7/22/2017,484
7/23/2017,"1,295"
7/24/2017,"1,680"
7/25/2017,"1,808"
7/26/2017,"1,848"
7/27/2017,"1,543"
7/28/2017,414
7/29/2017,966
7/30/2017,"1,550"
7/31/2017,"1,655"
8/1/2017,"1,773"
8/2/2017,"1,585"
8/3/2017,"1,445"
8/4/2017,394
8/5/2017,474
8/6/2017,"1,529"
8/7/2017,"1,550"
8/8/2017,"1,664"
8/9/2017,"1,655"
8/10/2017,"1,502"
8/11/2017,385
8/12/2017,577
8/13/2017,"1,754"
8/14/2017,"1,522"
8/15/2017,"1,941"
8/16/2017,"1,749"
8/17/2017,"1,321"
8/18/2017,367
8/19/2017,410
8/20/2017,"1,724"
8/21/2017,"2,034"
8/22/2017,"1,661"
8/23/2017,"2,396"
8/24/2017,"1,547"
8/25/2017,371
8/26/2017,491
8/27/2017,"1,884"
8/28/2017,"2,038"
8/29/2017,"1,488"
8/30/2017,"1,287"
8/31/2017,312
9/1/2017,190
9/2/2017,234
9/3/2017,439
9/4/2017,"1,522"
9/5/2017,"1,579"
9/6/2017,"1,677"
9/7/2017,"1,532"
9/8/2017,450
9/9/2017,443
9/10/2017,"1,961"
9/11/2017,"1,897"
9/12/2017,"1,930"
9/13/2017,"1,912"
9/14/2017,"1,545"
9/15/2017,815
9/16/2017,906
9/17/2017,"3,275"
9/18/2017,"3,371"
9/19/2017,"3,315"
9/20/2017,"1,957"
9/21/2017,828
9/22/2017,439
9/23/2017,715
9/24/2017,"1,790"
9/25/2017,"2,026"
9/26/2017,"1,799"
9/27/2017,"1,951"
9/28/2017,"1,557"
9/29/2017,456
9/30/2017,560
10/1/2017,"1,900"
10/2/2017,"1,919"
10/3/2017,"1,660"
10/4/2017,"1,899"
10/5/2017,"1,907"
10/6/2017,577
10/7/2017,682
10/8/2017,"1,841"
10/9/2017,"1,939"
10/10/2017,"1,964"
10/11/2017,"1,754"
10/12/2017,"1,534"
10/13/2017,677
10/14/2017,753
10/15/2017,"1,876"
10/16/2017,"1,927"
10/17/2017,"1,893"
10/18/2017,"1,915"
10/19/2017,"2,117"
10/20/2017,656
10/21/2017,673
10/22/2017,"2,405"
10/23/2017,"2,272"
10/24/2017,"2,131"
10/25/2017,"2,205"
10/26/2017,"1,460"
10/27/2017,420
10/28/2017,767
10/29/2017,"2,074"
10/30/2017,"1,978"
10/31/2017,"1,929"
11/1/2017,"1,860"
11/2/2017,"1,390"
11/3/2017,381
11/4/2017,941
11/5/2017,"2,346"
11/6/2017,"1,947"
11/7/2017,"2,676"
11/8/2017,"1,982"
11/9/2017,"1,718"
11/10/2017,519
11/11/2017,770
11/12/2017,"1,719"
11/13/2017,"1,944"
11/14/2017,"2,124"
11/15/2017,"1,951"
11/16/2017,"1,748"
11/17/2017,575
11/18/2017,869
11/19/2017,"2,118"
11/20/2017,"2,259"
11/21/2017,"1,763"
11/22/2017,"1,927"
11/23/2017,"1,723"
11/24/2017,451
11/25/2017,638
11/26/2017,"1,908"
11/27/2017,"1,866"
11/28/2017,"1,679"
11/29/2017,"1,542"
11/30/2017,496
12/1/2017,443
12/2/2017,419
12/3/2017,602
12/4/2017,"1,754"
12/5/2017,"1,543"
12/6/2017,"1,568"
12/7/2017,"1,347"
12/8/2017,366
12/9/2017,582
12/10/2017,"1,573"
12/11/2017,"1,695"
12/12/2017,"2,008"
12/13/2017,"1,750"
12/14/2017,"1,322"
12/15/2017,380
12/16/2017,105
12/17/2017,"1,401"
12/18/2017,"1,928"
12/19/2017,"1,513"
12/20/2017,"1,898"
12/21/2017,"1,487"
12/22/2017,436
12/23/2017,549
12/24/2017,"1,669"
12/25/2017,"1,414"
12/26/2017,"1,477"
12/27/2017,"1,452"
12/28/2017,"1,231"
12/29/2017,455
12/30/2017,517
12/31/2017,441
,"512,932"
